Rank,Name Country/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Citations,Industry Income,International Outlook,Overall,Research,Teaching
1001–1200,Semnan University of Medical Sciences and Health ServicesIran,3536,8.3,7%,64 : 36,47.6,37.0,25.0,24.4–29.7,9.2,20.9
1001–1200,University of Seville,49155,16.7,12%,58 : 42,39.5,40.6,45.4,24.4–29.7,22.6,20.3
1001–1200,Shahid Beheshti University of Medical SciencesIran,12850,8.7,3%,58 : 42,35.8,50.9,21.7,24.4–29.7,14.8,38.6
1001–1200,Shahrekord UniversityIran,7268,21.1,0%,56 : 44,48.7,37.7,19.3,24.4–29.7,12.7,17.7
1001–1200,Shahrood University of TechnologyIran,8221,21.1,1%,44 : 56,46.1,37.6,28.1,24.4–29.7,16.6,25.1
1001–1200,Shanghai Maritime University,23263,16.7,2%,46 : 54,50.6,48.4,32.0,24.4–29.7,11.2,15.8
1001–1200,Sidi Mohamed Ben Abdellah University,90045,53.3,2%,48 : 52,40.7,36.9,23.4,24.4–29.7,10.4,23.9
1001–1200,Siksha ‘O’ AnusandhanIndia,13990,12.4,1%,54 : 46,46.3,52.8,16.0,24.4–29.7,14.8,28.6
1001–1200,University of Social Welfare and Rehabilitation SciencesIran,1746,10.9,2%,68 : 32,33.1,41.4,33.1,24.4–29.7,19.5,29.4
1001–1200,Sogang UniversitySouth Korea,9625,24.0,15%,46 : 54,28.4,51.7,39.0,24.4–29.7,25.9,24.8
1001–1200,Sohag University,60248,26.4,0%,56 : 44,52.2,37.4,44.9,24.4–29.7,8.3,14.2
1001–1200,University of South Africa,236282,232.2,3%,73 : 27,29.3,37.6,42.6,24.4–29.7,25.5,30.4
1001–1200,University of South Dakota,7129,14.7,3%,63 : 37,30.1,36.9,24.9,24.4–29.7,15.0,35.2
1001–1200,University of the South Pacific,12052,36.6,1%,58 : 42,45.3,43.1,69.0,24.4–29.7,16.3,15.8
1001–1200,South Valley University,52035,30.0,1%,57 : 43,53.6,37.0,46.1,24.4–29.7,8.4,13.7
1001–1200,University of South Wales,15623,15.4,21%,53 : 47,33.0,38.5,70.9,24.4–29.7,11.0,16.9
1001–1200,University of Split,19363,16.3,2%,57 : 43,49.7,37.9,37.3,24.4–29.7,13.4,15.7
1001–1200,Ştefan cel Mare University of Suceava,9239,24.8,14%,59 : 41,52.0,37.5,33.5,24.4–29.7,12.0,16.9
1001–1200,St Marianna University School of MedicineJapanNot accredited,833,0.9,1%,39 : 61,39.4,37.1,17.6,24.4–29.7,8.6,26.7
1001–1200,University of Sunderland,12049,15.8,40%,60 : 40,35.3,37.1,69.6,24.4–29.7,9.6,16.9
1001–1200,SWPS University of Social Sciences and Humanities,14522,37.6,8%,78 : 22,38.5,37.3,52.0,24.4–29.7,16.3,15.4
1001–1200,University of Szeged,20023,12.5,22%,55 : 45,33.3,39.6,60.8,24.4–29.7,15.5,23.2
1001–1200,Tallinn University,4178,9.6,16%,71 : 29,22.4,39.0,68.9,24.4–29.7,18.8,19.7
1001–1200,Technical University of Crete,6597,31.6,4%,37 : 63,57.4,41.4,43.4,24.4–29.7,11.9,14.1
1001–1200,Technical University of Madrid,38976,15.6,16%,32 : 68,36.5,45.2,52.7,24.4–29.7,15.3,22.5
1001–1200,Technological University Dublin,20686,18.7,21%,44 : 56,33.1,37.5,72.6,24.4–29.7,12.3,17.8
1001–1200,Teesside University,13136,19.3,20%,57 : 43,42.5,37.2,69.1,24.4–29.7,12.7,19.1
1001–1200,University of Texas Rio Grande Valley,29420,23.5,3%,60 : 40,40.7,37.1,36.0,24.4–29.7,23.7,18.1
1001–1200,Tokyo Medical University,1370,1.7,1%,45 : 55,39.8,44.5,19.0,24.4–29.7,11.5,28.2
1001–1200,Tokyo Metropolitan UniversityJapan,8829,10.6,6%,39 : 61,34.1,39.9,30.0,24.4–29.7,14.6,24.5
1001–1200,Tomsk Polytechnic University,9077,9.8,30%,31 : 69,19.3,68.4,63.8,24.4–29.7,20.2,31.5
1001–1200,Toyota Technological Institute,489,9.4,2%,8 : 92,30.4,59.9,26.0,24.4–29.7,17.5,23.5
1001–1200,University of Trás-os-Montes and Alto Douro,7123,11.1,8%,55 : 45,31.9,36.9,44.2,24.4–29.7,19.4,17.1
1001–1200,Universiti Tunku Abdul Rahman (UTAR),18183,15.8,3%,51 : 49,49.8,39.7,35.6,24.4–29.7,14.9,16.1
1001–1200,Ufa State Petroleum Technological University,13106,9.4,11%,36 : 64,61.9,36.9,24.9,24.4–29.7,8.7,18.5
1001–1200,Urmia UniversityIran,13910,27.2,2%,50 : 50,38.6,40.9,22.4,24.4–29.7,16.4,24.2
1001–1200,"University of Veterinary and Animal Sciences, Lahore",7087,19.6,1%,50 : 50,38.4,54.8,45.0,24.4–29.7,13.9,16.3
1001–1200,"Vietnam National University, HanoiVietnam",48070,15.3,1%,63 : 37,45.9,38.9,45.5,24.4–29.7,9.6,18.7
1001–1200,University of Vigo,17613,15.4,6%,51 : 49,44.5,40.6,44.6,24.4–29.7,16.5,18.7
1001–1200,Waseda University,46799,14.6,13%,39 : 61,27.6,41.1,47.0,24.4–29.7,23.8,29.3
1001–1200,University of Westminster,16947,20.8,50%,61 : 39,35.9,37.3,82.9,24.4–29.7,18.4,18.6
1001–1200,Wuhan University of Technology,55426,14.9,2%,30 : 70,48.3,55.7,23.2,24.4–29.7,15.2,19.4
1001–1200,Xidian University,37205,16.0,1%,27 : 73,40.8,78.4,21.1,24.4–29.7,20.4,22.0
1001–1200,Yarmouk University,36443,33.2,10%,69 : 31,33.6,38.2,49.8,24.4–29.7,11.1,29.4
1001–1200,Yasouj UniversityIran,5713,23.6,0%,56 : 44,53.8,38.5,18.5,24.4–29.7,13.6,14.8
1001–1200,Yıldız Technical UniversityTurkey,25532,26.0,11%,48 : 52,29.3,100.0,32.0,24.4–29.7,26.7,25.7
1001–1200,University of Zaragoza,28085,10.1,8%,54 : 46,35.0,40.7,40.3,24.4–29.7,16.3,21.1
1001–1200,Zhejiang Gongshang University,22676,15.8,5%,61 : 39,53.8,40.1,32.8,24.4–29.7,11.0,16.9
1001–1200,Zhejiang University of Technology,32095,14.5,6%,nan,49.1,65.1,24.5,24.4–29.7,18.4,18.2
1001–1200,University of Žilina,7545,13.4,3%,35 : 65,29.7,45.3,33.0,24.4–29.7,18.2,21.3
1001–1200,University of Zimbabwe,20598,23.9,0%,51 : 49,35.6,43.1,50.0,24.4–29.7,23.3,14.8
1201–1500,Université 8 Mai 1945 Guelma,17530,20.1,1%,67 : 33,41.3,37.0,36.5,18.4–24.3,8.6,16.2
1201–1500,Abdelmalek Essaâdi University,112677,88.2,1%,50 : 50,16.2,36.9,28.0,18.4–24.3,9.5,27.4
1201–1500,Acharya Nagarjuna University,4872,7.9,7%,38 : 62,18.2,42.5,24.1,18.4–24.3,9.7,42.4
1201–1500,Acıbadem University,2784,6.1,3%,74 : 26,18.0,38.7,24.9,18.4–24.3,11.4,22.4
1201–1500,Adolfo Ibáñez University,10573,25.7,5%,38 : 62,20.0,38.1,60.4,18.4–24.3,17.2,15.6
1201–1500,AGH University of Science and Technology,20240,12.7,3%,35 : 65,18.7,56.8,25.5,18.4–24.3,18.6,20.6
1201–1500,Aichi Medical University,1323,2.9,1%,57 : 43,31.6,41.1,18.7,18.4–24.3,12.4,26.5
1201–1500,Universitas AirlanggaIndonesia,26142,7.7,2%,66 : 34,27.6,38.4,38.5,18.4–24.3,10.5,23.4
1201–1500,Akdeniz University,44434,32.7,3%,33 : 67,27.8,38.1,19.7,18.4–24.3,10.8,15.5
1201–1500,University of Alicante,22094,14.4,10%,58 : 42,23.1,39.3,41.3,18.4–24.3,18.4,20.3
1201–1500,Altai State University,9120,19.6,24%,55 : 45,11.8,43.2,55.9,18.4–24.3,15.0,18.8
1201–1500,Anadolu University,20815,17.0,3%,53 : 47,32.9,40.5,22.9,18.4–24.3,11.3,23.1
1201–1500,"University of the Andes, Chile",9405,18.9,3%,58 : 42,28.0,40.2,48.1,18.4–24.3,14.3,17.8
1201–1500,Andhra University,9048,13.2,6%,49 : 51,21.7,40.3,20.4,18.4–24.3,9.9,38.4
1201–1500,Universidad Andrés Bello (UNAB),46325,19.5,4%,54 : 46,29.8,37.8,50.4,18.4–24.3,9.4,14.3
1201–1500,Ankara University,71311,15.2,5%,46 : 54,25.6,37.7,27.4,18.4–24.3,11.0,18.8
1201–1500,University of Antioquia,38437,21.5,0%,51 : 49,25.0,43.3,37.8,18.4–24.3,14.9,17.2
1201–1500,"Arab Academy for Science, Technology and Maritime Transport",32049,13.8,12%,33 : 67,24.0,39.8,45.5,18.4–24.3,10.4,23.3
1201–1500,Arak UniversityIran,6379,21.3,6%,67 : 33,24.9,37.2,23.5,18.4–24.3,12.9,17.9
1201–1500,Ariel University,12418,20.7,0%,49 : 51,15.5,40.1,31.4,18.4–24.3,18.9,15.8
1201–1500,Atatürk University,56419,30.2,3%,51 : 49,37.2,37.3,20.4,18.4–24.3,14.0,18.8
1201–1500,Austral University of Chile,17434,17.5,1%,53 : 47,24.0,44.4,51.4,18.4–24.3,14.4,16.5
1201–1500,Banasthali UniversityIndia,10092,17.1,5%,100 : 0,26.3,43.2,21.8,18.4–24.3,11.0,34.7
1201–1500,Bandung Institute of Technology (ITB),20915,13.9,2%,44 : 56,15.3,88.8,34.7,18.4–24.3,25.8,22.6
1201–1500,Bangladesh Agricultural University (BAU),9918,17.3,1%,34 : 66,33.7,40.7,46.3,18.4–24.3,10.2,17.3
1201–1500,Bangladesh University of Engineering and Technology,6268,13.0,0%,22 : 78,33.0,37.8,25.7,18.4–24.3,13.4,18.1
1201–1500,University of Benin,47468,25.2,0%,50 : 50,28.3,36.9,27.1,18.4–24.3,8.7,14.7
1201–1500,Bezmiâlem Vakif University,2904,9.5,6%,71 : 29,27.2,41.0,24.3,18.4–24.3,10.7,27.7
1201–1500,BINUS University,15331,14.3,4%,41 : 59,24.4,43.8,27.0,18.4–24.3,14.3,17.6
1201–1500,Bozok University,14642,16.8,6%,50 : 50,30.2,38.4,27.7,18.4–24.3,8.7,13.8
1201–1500,University of Brasília,45737,15.2,1%,52 : 48,23.5,49.5,31.2,18.4–24.3,15.8,27.3
1201–1500,The British University in Egypt,11042,16.2,3%,46 : 54,41.9,37.1,30.1,18.4–24.3,8.7,15.1
1201–1500,Brno University of TechnologyCzech Republic,18762,16.6,23%,29 : 71,17.1,42.7,56.2,18.4–24.3,17.8,18.6
1201–1500,Bu-Ali Sina UniversityIran,10838,23.4,1%,56 : 44,29.0,38.4,22.0,18.4–24.3,15.6,16.5
1201–1500,University of Bucharest,31267,32.7,2%,68 : 32,23.1,37.6,29.4,18.4–24.3,16.8,24.3
1201–1500,Budapest University of Technology and Economics,18728,17.0,12%,31 : 69,18.0,43.6,39.1,18.4–24.3,17.5,19.1
1201–1500,University of Cadiz,18672,16.8,9%,56 : 44,32.6,38.4,39.8,18.4–24.3,16.4,17.6
1201–1500,Canterbury Christ Church University,10739,17.7,14%,69 : 31,26.4,37.0,47.7,18.4–24.3,12.8,24.7
1201–1500,University of Carthage,28962,9.9,1%,67 : 33,19.1,38.3,44.2,18.4–24.3,9.8,19.0
1201–1500,The Catholic University of KoreaSouth Korea,9782,7.1,4%,60 : 40,24.9,41.2,20.1,18.4–24.3,18.9,25.1
1201–1500,Catholic University of the North,11343,20.4,3%,47 : 53,27.4,38.2,57.1,18.4–24.3,17.0,14.3
1201–1500,Chang Gung University of Science and TechnologyTaiwan,6326,26.5,1%,90 : 10,29.4,47.8,19.3,18.4–24.3,16.1,13.6
1201–1500,"University of Chemistry and Technology, PragueCzech Republic",4006,8.0,22%,58 : 42,15.8,41.5,51.4,18.4–24.3,13.4,26.2
1201–1500,University of Chester,10433,18.0,15%,68 : 32,18.7,37.6,56.5,18.4–24.3,12.9,18.8
1201–1500,Chosun UniversitySouth Korea,21073,27.3,3%,48 : 52,16.9,81.3,29.6,18.4–24.3,22.2,17.8
1201–1500,Chungbuk National UniversitySouth Korea,17219,14.2,5%,44 : 56,20.9,42.9,26.6,18.4–24.3,20.2,20.3
1201–1500,Chungnam National UniversitySouth Korea,21244,20.7,4%,47 : 53,18.7,46.1,24.3,18.4–24.3,24.6,26.7
1201–1500,Chung Yuan Christian UniversityTaiwan,15037,31.3,9%,46 : 54,26.6,48.5,42.9,18.4–24.3,21.9,17.2
1201–1500,Cochin University of Science and Technology,3969,16.9,1%,60 : 40,12.8,37.4,16.9,18.4–24.3,18.6,37.8
1201–1500,University of Colorado Colorado Springs,12380,21.2,1%,55 : 45,32.9,38.4,24.7,18.4–24.3,12.7,17.1
1201–1500,University of Concepción,28112,17.1,2%,52 : 48,30.1,49.9,50.7,18.4–24.3,14.0,16.4
1201–1500,Corvinus University of Budapest,11225,21.3,15%,53 : 47,23.0,37.2,43.5,18.4–24.3,12.2,16.0
1201–1500,Czech Technical University in PragueCzech Republic,16217,8.8,20%,19 : 81,15.5,48.4,58.2,18.4–24.3,16.1,23.2
1201–1500,Damghan UniversityIran,4980,28.6,0%,62 : 38,25.4,39.1,23.4,18.4–24.3,13.3,18.1
1201–1500,De La Salle UniversityPhilippines,12941,14.9,3%,50 : 50,23.6,36.9,25.6,18.4–24.3,13.4,18.1
1201–1500,Del Rosario University,11751,13.2,2%,59 : 41,25.3,38.4,48.4,18.4–24.3,11.6,16.8
1201–1500,Democritus University of Thrace,22230,37.0,4%,56 : 44,36.9,37.9,32.6,18.4–24.3,13.8,15.2
1201–1500,Dokuz Eylül University,56233,17.6,3%,47 : 53,20.9,95.8,21.7,18.4–24.3,13.3,18.4
1201–1500,Ege University,33062,18.5,4%,57 : 43,19.0,46.7,24.1,18.4–24.3,13.3,21.8
1201–1500,Ehime University,9204,13.3,2%,38 : 62,21.7,44.0,27.1,18.4–24.3,15.3,20.7
1201–1500,El Bosque University,12721,6.6,0%,65 : 35,19.7,37.9,44.1,18.4–24.3,7.8,20.3
1201–1500,The University of Electro-Communications,4662,15.4,6%,12 : 88,10.5,44.3,32.6,18.4–24.3,21.1,19.9
1201–1500,Erciyes University,50212,36.2,4%,47 : 53,23.7,68.9,24.1,18.4–24.3,14.1,20.0
1201–1500,Escuela Superior Politécnica del Litoral,11549,12.8,1%,38 : 62,35.0,37.0,54.3,18.4–24.3,10.2,16.1
1201–1500,Universidade do Estado do Rio de Janeiro (UERJ),22458,9.1,0%,56 : 44,17.4,39.9,24.2,18.4–24.3,12.4,24.9
1201–1500,Far Eastern Federal University,15585,12.3,21%,nan,16.1,43.6,53.9,18.4–24.3,18.4,27.7
1201–1500,Universidade Federal do ABC (UFABC),16706,22.2,1%,35 : 65,32.6,38.1,34.9,18.4–24.3,15.4,17.6
1201–1500,Universidade Federal da Bahia,45692,17.4,0%,51 : 49,25.6,37.2,24.6,18.4–24.3,11.1,24.6
1201–1500,Federal University of Espírito Santo,23475,13.4,1%,54 : 46,22.5,42.1,24.8,18.4–24.3,12.2,20.4
1201–1500,Federal University of Goiás,25511,13.7,1%,50 : 50,19.2,38.8,23.7,18.4–24.3,13.0,22.5
1201–1500,Federal University of Lavras,14637,18.4,1%,52 : 48,15.7,54.3,23.1,18.4–24.3,17.1,24.7
1201–1500,Universidade Federal do Paraná (UFPR),33621,13.4,0%,63 : 37,15.2,39.1,23.9,18.4–24.3,16.0,25.4
1201–1500,Federal University of Rio Grande do Norte (UFRN),37879,14.7,0%,40 : 60,34.0,38.5,27.1,18.4–24.3,10.1,22.2
1201–1500,Federal University of Santa Maria,27242,13.7,1%,53 : 47,33.9,37.8,21.5,18.4–24.3,12.1,22.1
1201–1500,Federal University of São Carlos,20314,15.4,1%,50 : 50,18.4,42.8,26.1,18.4–24.3,19.0,28.1
1201–1500,Federal University of Uberlândia,25748,13.6,1%,52 : 48,34.6,39.4,21.4,18.4–24.3,11.1,23.0
1201–1500,Federal University of Viçosa,16436,13.3,2%,55 : 45,15.2,43.7,21.7,18.4–24.3,16.7,28.3
1201–1500,Federico Santa María Technical University,22405,30.0,3%,26 : 74,27.3,39.4,54.8,18.4–24.3,12.0,14.0
1201–1500,University of Fort Hare,13626,38.4,2%,57 : 43,22.5,37.0,43.9,18.4–24.3,12.4,22.5
1201–1500,University of La Frontera,11053,22.0,1%,50 : 50,28.8,37.1,49.7,18.4–24.3,12.9,16.0
1201–1500,Fujian Normal University,31697,14.2,2%,nan,43.9,39.3,23.5,18.4–24.3,10.5,17.3
1201–1500,Université de Gabès,13152,12.8,1%,75 : 25,25.7,36.9,42.1,18.4–24.3,9.3,18.1
1201–1500,Universitas Gadjah Mada,38089,8.1,4%,55 : 45,11.3,71.7,36.2,18.4–24.3,17.3,25.6
1201–1500,Gazi University,41358,20.6,3%,50 : 50,23.0,92.7,18.9,18.4–24.3,16.2,27.5
1201–1500,University of Gdańsk,19970,23.9,2%,67 : 33,19.1,38.0,34.7,18.4–24.3,15.5,18.4
1201–1500,Gdańsk University of Technology,14816,19.9,5%,38 : 62,33.3,45.0,29.9,18.4–24.3,15.1,17.7
1201–1500,Gebze Technical University,8403,22.7,2%,43 : 57,22.1,44.1,25.5,18.4–24.3,14.4,20.5
1201–1500,Georgia Southern University,22885,18.8,3%,59 : 41,33.9,39.4,28.0,18.4–24.3,11.4,21.9
1201–1500,German University in Cairo,11937,14.9,1%,44 : 56,38.4,36.9,43.0,18.4–24.3,8.8,15.0
1201–1500,Gifu University,7216,7.5,5%,38 : 62,17.2,42.1,26.1,18.4–24.3,13.0,25.7
1201–1500,Government College University Lahore,11276,19.4,0%,42 : 58,21.0,37.3,43.7,18.4–24.3,11.5,17.5
1201–1500,Grand Valley State University,20972,15.3,1%,61 : 39,19.2,37.0,30.6,18.4–24.3,9.0,26.7
1201–1500,Gunma University,6300,7.7,5%,38 : 62,17.1,40.7,23.5,18.4–24.3,13.0,24.2
1201–1500,Gyeongsang National UniversitySouth Korea,12996,12.3,3%,47 : 53,21.2,40.9,26.4,18.4–24.3,17.0,20.8
1201–1500,Hallym UniversitySouth Korea,7947,9.4,4%,nan,18.4,45.1,21.4,18.4–24.3,18.7,19.8
1201–1500,Harbin Engineering University,29861,18.7,3%,23 : 77,18.6,79.3,21.7,18.4–24.3,23.2,24.6
1201–1500,Hasanuddin University,33601,14.6,1%,60 : 40,25.5,44.5,26.4,18.4–24.3,10.9,18.4
1201–1500,The Hashemite UniversityJordan,16647,27.9,7%,61 : 39,23.7,42.8,54.5,18.4–24.3,13.5,14.3
1201–1500,Université Hassan II de Casablanca,124623,36.0,2%,52 : 48,30.3,38.6,24.6,18.4–24.3,8.6,19.4
1201–1500,Université Polytechnique Hauts-de-France,13633,21.2,13%,46 : 54,32.6,37.7,76.2,18.4–24.3,8.1,15.4
1201–1500,Helwan University,127379,19.3,2%,53 : 47,31.1,37.3,39.7,18.4–24.3,8.3,15.5
1201–1500,Hosei University,30300,39.2,4%,38 : 62,27.8,38.3,31.8,18.4–24.3,10.0,16.7
1201–1500,University of Hradec KrálovéCzech Republic,6390,12.3,3%,65 : 35,30.0,39.3,57.6,18.4–24.3,13.6,17.0
1201–1500,Hungarian University of Agriculture and Life Sciences,10474,10.5,14%,53 : 47,21.0,37.7,56.2,18.4–24.3,13.3,21.1
1201–1500,University of Ilorin,40901,34.8,1%,48 : 52,35.8,36.9,33.5,18.4–24.3,10.7,19.8
1201–1500,Immanuel Kant Baltic Federal University,7041,16.2,15%,62 : 38,12.6,48.3,53.3,18.4–24.3,15.0,30.7
1201–1500,Incheon National UniversitySouth Korea,13210,17.3,3%,nan,25.2,38.6,29.8,18.4–24.3,14.6,17.9
1201–1500,Indian Institute of Science Education and Research Bhopal,1724,14.1,0%,32 : 68,19.2,36.9,20.2,18.4–24.3,15.8,27.8
1201–1500,International Hellenic University,45009,49.0,1%,54 : 46,34.4,37.3,31.2,18.4–24.3,10.8,11.7
1201–1500,IPB University,23580,6.7,3%,58 : 42,17.6,53.1,40.4,18.4–24.3,9.7,26.1
1201–1500,Irkutsk National Research Technical University,9710,10.8,10%,38 : 62,34.5,43.0,26.2,18.4–24.3,9.6,17.7
1201–1500,University of IsfahanIran,16756,24.7,4%,61 : 39,21.9,38.5,27.9,18.4–24.3,17.2,30.6
1201–1500,Istanbul Medipol UniversityTurkey,24332,20.4,11%,65 : 35,28.2,38.0,34.8,18.4–24.3,9.5,14.1
1201–1500,Ivan Franko National University of Lviv,18357,10.0,1%,65 : 35,4.2,37.6,30.9,18.4–24.3,9.5,20.6
1201–1500,Jawaharlal Nehru Technological University Anantapur (JNTUA),5683,16.1,0%,38 : 62,34.1,37.3,16.0,18.4–24.3,12.3,26.0
1201–1500,Jeju National UniversitySouth Korea,11741,17.6,4%,52 : 48,22.4,40.0,23.0,18.4–24.3,15.6,19.3
1201–1500,Jianghan University,19522,15.5,2%,55 : 45,40.4,44.4,20.5,18.4–24.3,11.5,15.2
1201–1500,Kagawa University,6369,9.9,2%,42 : 58,20.8,42.3,28.9,18.4–24.3,12.2,20.3
1201–1500,Kanazawa Medical University,1090,2.2,2%,54 : 46,18.8,37.9,19.5,18.4–24.3,8.9,25.7
1201–1500,Kangwon National UniversitySouth Korea,22104,22.0,3%,41 : 59,19.1,39.9,23.1,18.4–24.3,19.4,20.3
1201–1500,Karabük University,47263,41.8,22%,39 : 61,37.2,37.2,42.6,18.4–24.3,8.8,13.1
1201–1500,Kaunas University of Technology,8361,14.2,8%,34 : 66,21.3,43.8,44.3,18.4–24.3,15.9,18.2
1201–1500,Kazan National Research Technical University,7068,12.7,12%,26 : 74,31.4,51.1,27.6,18.4–24.3,12.3,17.8
1201–1500,Kazan National Research Technological University,13064,11.4,17%,41 : 59,38.6,52.1,32.2,18.4–24.3,9.2,18.0
1201–1500,Kazan State Medical University,5657,10.4,25%,61 : 39,1.2,36.9,42.4,18.4–24.3,9.2,39.4
1201–1500,Kharazmi UniversityIran,12607,19.0,4%,54 : 46,19.4,38.0,24.6,18.4–24.3,14.1,31.3
1201–1500,Khon Kaen University,34434,18.1,2%,59 : 41,19.2,49.5,32.2,18.4–24.3,14.4,22.1
1201–1500,Khulna University of Engineering and Technology (KUET),5562,15.0,0%,23 : 77,45.7,37.0,24.3,18.4–24.3,9.2,14.3
1201–1500,King Mongkut's University of Technology North Bangkok,27055,22.8,0%,43 : 57,31.5,39.1,23.0,18.4–24.3,10.3,16.6
1201–1500,Kitasato University,8605,5.2,1%,54 : 46,20.3,41.3,17.9,18.4–24.3,10.1,23.9
1201–1500,Kochi University of Technology,2593,20.3,2%,25 : 75,10.1,42.0,33.7,18.4–24.3,14.3,25.2
1201–1500,Universiti Kuala Lumpur,15858,12.3,3%,41 : 59,24.1,40.1,38.3,18.4–24.3,9.0,17.2
1201–1500,Kyushu Institute of Technology (Kyutech),5646,16.0,5%,14 : 86,25.1,53.5,36.2,18.4–24.3,14.1,20.2
1201–1500,Lahore College for Women University (LCWU),10457,17.7,0%,100 : 0,27.5,36.9,28.7,18.4–24.3,8.8,22.8
1201–1500,University of Lethbridge,7172,13.3,11%,nan,20.5,37.0,57.1,18.4–24.3,13.7,17.0
1201–1500,L.N. Gumilyov Eurasian National University,19358,14.1,4%,57 : 43,24.4,37.0,53.3,18.4–24.3,10.9,18.1
1201–1500,Lobachevsky State University of Nizhni Novgorod,18767,9.1,12%,51 : 49,9.9,46.4,34.4,18.4–24.3,12.5,26.4
1201–1500,Londrina State University,21180,11.2,1%,58 : 42,15.9,45.5,21.1,18.4–24.3,14.9,23.1
1201–1500,University of Lucknow,17291,39.2,0%,50 : 50,20.7,37.4,18.1,18.4–24.3,10.3,30.3
1201–1500,"Lumière University, Lyon 2",25186,47.2,18%,68 : 32,8.7,37.3,61.0,18.4–24.3,18.4,22.4
1201–1500,University of Malaga,35888,13.8,6%,54 : 46,30.8,39.8,39.1,18.4–24.3,14.6,17.2
1201–1500,Universiti Malaysia Kelantan,8787,20.1,3%,71 : 29,23.9,39.4,33.5,18.4–24.3,11.6,14.7
1201–1500,Universiti Malaysia Sarawak (UNIMAS)Malaysia,13956,17.9,7%,73 : 27,16.2,37.9,45.7,18.4–24.3,11.8,22.9
1201–1500,University of Maribor,12403,14.3,10%,53 : 47,28.3,42.5,43.5,18.4–24.3,17.4,17.2
1201–1500,Marmara University,62414,30.6,6%,51 : 49,24.1,40.4,26.3,18.4–24.3,10.0,18.3
1201–1500,Mendel University in BrnoCzech Republic,8886,16.5,20%,57 : 43,18.1,37.7,55.7,18.4–24.3,17.6,19.0
1201–1500,Metropolitan Autonomous University,59709,21.1,1%,50 : 50,31.6,38.1,25.8,18.4–24.3,17.5,17.3
1201–1500,Mie University,7125,8.4,4%,38 : 62,19.0,44.9,23.8,18.4–24.3,12.7,22.4
1201–1500,Ming Chi University of TechnologyTaiwan,4514,19.5,2%,26 : 74,29.4,53.3,25.6,18.4–24.3,19.8,16.4
1201–1500,Mohammed V University of Rabat,88644,43.3,3%,52 : 48,17.4,45.4,27.9,18.4–24.3,13.3,30.4
1201–1500,University of Monastir,19203,9.6,2%,70 : 30,26.5,36.9,45.1,18.4–24.3,10.0,19.6
1201–1500,Moscow Aviation Institute,15493,12.8,12%,28 : 72,23.0,70.9,27.5,18.4–24.3,12.7,25.4
1201–1500,Moscow State University of Civil Engineering,11918,12.7,8%,nan,32.8,53.6,23.0,18.4–24.3,11.3,18.1
1201–1500,Multimedia University,7116,10.6,11%,51 : 49,25.6,38.5,42.1,18.4–24.3,10.7,19.5
1201–1500,University of Mumbai,13330,23.5,1%,51 : 49,16.1,38.0,16.7,18.4–24.3,19.9,29.6
1201–1500,University of Mysore,7970,21.4,10%,42 : 58,20.8,37.3,34.5,18.4–24.3,8.6,31.3
1201–1500,Nagaoka University of Technology,2189,11.1,12%,10 : 90,9.1,47.3,36.5,18.4–24.3,15.7,25.0
1201–1500,Nagasaki University,8869,6.7,6%,39 : 61,22.1,43.9,36.1,18.4–24.3,13.0,24.2
1201–1500,Nagoya City University,4514,7.5,4%,48 : 52,24.1,51.2,21.7,18.4–24.3,15.8,24.5
1201–1500,National Chengchi UniversityTaiwan,12489,14.8,13%,57 : 43,11.0,44.4,47.6,18.4–24.3,28.3,23.9
1201–1500,National Chin-Yi University of TechnologyTaiwan,7294,23.2,5%,30 : 70,13.6,46.4,24.1,18.4–24.3,23.6,15.2
1201–1500,National Chung Cheng UniversityTaiwan,8650,15.4,4%,44 : 56,13.3,43.2,24.9,18.4–24.3,18.7,20.4
1201–1500,National Chung Hsing UniversityTaiwan,15150,16.8,7%,41 : 59,17.2,51.3,31.8,18.4–24.3,21.0,21.5
1201–1500,National University of Distance Education (UNED),66141,56.9,5%,54 : 46,21.9,38.2,29.5,18.4–24.3,18.5,17.8
1201–1500,National Dong Hwa UniversityTaiwan,10008,17.8,8%,52 : 48,22.9,40.9,45.7,18.4–24.3,21.7,17.3
1201–1500,National Research University of Electronic Technology (MIET),4736,9.3,7%,28 : 72,3.4,78.0,22.9,18.4–24.3,13.5,39.7
1201–1500,National Research Saratov State University,9826,9.3,11%,58 : 42,14.3,43.7,33.9,18.4–24.3,13.5,21.3
1201–1500,National University of San Martín,16276,16.1,5%,60 : 40,28.6,37.6,40.8,18.4–24.3,10.4,18.2
1201–1500,National Technical University Kharkiv Polytechnic Institute,11413,7.9,13%,32 : 68,15.8,38.2,30.0,18.4–24.3,9.1,20.8
1201–1500,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,21170,8.0,3%,30 : 70,27.8,37.7,21.2,18.4–24.3,10.0,21.2
1201–1500,Nicolaus Copernicus University in Toruń,19684,13.0,4%,67 : 33,30.3,38.3,30.5,18.4–24.3,19.0,19.3
1201–1500,University of Nigeria Nsukka,43108,11.4,1%,46 : 54,32.2,37.6,30.0,18.4–24.3,10.2,25.0
